id,out_of_range,quality_grade,captive_cultivated,latitude,longitude,positional_accuracy,coordinates_obscured,scientific_name,iconic_taxon_name
4018,false,research,false,-19.5845124572,23.2808335727,,true,Terathopius ecaudatus,Aves
4029,,research,false,-19.241973877,23.2870845795,,false,Merops pusillus,Aves
4031,false,research,false,-19.588094,23.280887,,false,Scopus umbretta,Aves
4032,false,research,false,-19.2369289398,23.4048271179,,false,Corythaixoides concolor,Aves
4033,false,research,false,-19.3536068404,23.578152849,,true,Gyps africanus,Aves
4034,false,research,false,-19.2369289398,23.4048271179,,false,Glaucidium perlatum,Aves
4035,false,research,false,-19.2369289398,23.4048271179,,false,Poicephalus meyeri,Aves
4036,false,research,false,-19.588094,23.280887,,false,Tockus leucomelas,Aves
4055,false,research,false,-19.588094,23.280887,,false,Vanellus armatus,Aves
4056,false,research,false,-19.5880947113,23.2808876038,,false,Coracias caudatus,Aves
4058,false,research,false,-19.5639953613,23.2523918152,,false,Corvinella melanoleuca,Aves
4059,,research,false,-19.5639953613,23.2523918152,,false,Campethera bennettii,Aves
4061,false,research,false,-19.5639953613,23.2523918152,,false,Pternistis adspersus,Aves
4062,false,research,false,-19.2369289398,23.4048271179,,false,Ephippiorhynchus senegalensis,Aves
4064,false,research,false,-19.2369289398,23.4048271179,,false,Merops hirundineus,Aves
4065,false,research,false,-19.2369289398,23.4048271179,,false,Actophilornis africanus,Aves
4066,false,research,false,-19.3374062947,23.5681604659,,true,Necrosyrtes monachus,Aves
4067,false,research,false,-19.2369289398,23.4048271179,,false,Plegadis falcinellus,Aves
4068,false,research,false,-19.2369289398,23.4048271179,,false,Himantopus himantopus,Aves
4069,false,research,false,-19.2369289398,23.4048271179,,false,Anas erythrorhyncha,Aves
4070,,research,false,-19.274688,22.853965,,false,Trachyphonus vaillantii,Aves
4071,false,research,false,-19.2369289398,23.4048271179,,false,Ceryle rudis,Aves
4072,false,research,false,-19.2369289398,23.4048271179,,false,Plocepasser mahali,Aves
4073,false,research,false,-19.2369289398,23.4048271179,,false,Alopochen aegyptiaca,Aves
4155,false,research,false,-19.5659351349,23.2532501221,,false,Vanellus coronatus,Aves
4177,false,research,false,-19.5639953613,23.2523918152,,false,Centropus senegalensis,Aves
6107,false,research,false,-19.5880947113,23.2808876038,,false,Lamprotornis mevesii,Aves
9630,false,research,false,-24.841149129,31.7268468941,,true,Bucorvus leadbeateri,Aves
9633,,research,false,-25.0096440656,31.5908432007,,false,Numida meleagris mitratus,Aves
9638,false,research,false,-24.8778811065,31.6961160696,,true,Gyps africanus,Aves
9640,false,research,false,-24.9967625391,31.5966796875,,false,Lybius torquatus,Aves
9642,,research,false,-24.9975093316,31.5942764282,,false,Bostrychia hagedash hagedash,Aves
9644,false,research,false,-24.4788529459,31.7815589905,,false,Streptopelia decipiens,Aves
