id,out_of_range,quality_grade,captive_cultivated,latitude,longitude,positional_accuracy,coordinates_obscured,scientific_name,iconic_taxon_name
208441,,research,false,-33.5018783667,26.8420672417,3,false,Tauraco corythaix corythaix,Aves
260793,,research,false,-34.023129,23.890436,,false,Tauraco corythaix corythaix,Aves
1196592,,research,false,-34.05526,23.0789,194,false,Tauraco corythaix corythaix,Aves
5056146,,research,false,-33.9894866943,22.6083183289,,false,Tauraco corythaix corythaix,Aves
5118212,,research,false,-33.9820861816,23.5507392883,,false,Tauraco corythaix corythaix,Aves
5526327,,research,false,-30.6962352613,30.2684497833,244,false,Tauraco corythaix corythaix,Aves
7595114,,research,false,-33.9902706298,22.6080393791,61,false,Tauraco corythaix corythaix,Aves
7984899,,research,false,-34.0313552555,22.966111348,1927,false,Tauraco corythaix corythaix,Aves
8395736,,research,false,-33.94588,22.4640633333,,false,Tauraco corythaix corythaix,Aves
8396404,,research,false,-33.7502097862,26.5294027652,0,false,Tauraco corythaix corythaix,Aves
8444157,,research,false,-34.0105769188,23.3734613657,15,false,Tauraco corythaix corythaix,Aves
8601662,,research,false,-33.9763542586,23.562184269,122,false,Tauraco corythaix corythaix,Aves
8641330,,research,false,-31.8221844165,29.302854538,61,false,Tauraco corythaix corythaix,Aves
8691460,,research,false,-33.9812569106,22.6509557291,25,false,Tauraco corythaix corythaix,Aves
8691463,,research,false,-33.98262131,22.6521251722,27,false,Tauraco corythaix corythaix,Aves
8727162,,research,false,-33.9705022483,25.6038737297,31,false,Tauraco corythaix corythaix,Aves
8826552,,research,false,-33.9739438078,22.6143264771,557,false,Tauraco corythaix corythaix,Aves
9498821,,research,false,-33.9908539715,25.4495233854,61,true,Tauraco corythaix corythaix,Aves
9538159,,research,false,-33.9991432578,25.5522422801,122,false,Tauraco corythaix corythaix,Aves
9699367,false,research,false,-33.94723,22.4630366667,,false,Tauraco corythaix,Aves
10029437,,research,false,-33.9773639743,22.6302040969,10,false,Tauraco corythaix corythaix,Aves
10388152,false,research,false,-33.9819083292,22.6117086411,61,false,Tauraco corythaix,Aves
10407791,,research,false,-30.3874898516,30.6769180298,15,false,Tauraco corythaix corythaix,Aves
10637820,true,research,false,-30.559482,22.937506,1785820,false,Tauraco corythaix,Aves
10783084,,research,false,-33.980858,23.548974,1,false,Tauraco corythaix corythaix,Aves
10783284,,research,false,-34.0199,23.8601,1,false,Tauraco corythaix corythaix,Aves
10813592,,research,false,-33.9808,23.5493,1,false,Tauraco corythaix corythaix,Aves
10819567,,research,false,-29.777237,30.835828,1,false,Tauraco corythaix corythaix,Aves
10824407,,research,false,-33.9735,23.5543,1,false,Tauraco corythaix corythaix,Aves
10825758,,research,false,-32.58808,26.932,1,false,Tauraco corythaix corythaix,Aves
10829317,,research,false,-33.953537,23.635311,1,false,Tauraco corythaix corythaix,Aves
10840421,,research,false,-34.0395948,22.2265274,1,false,Tauraco corythaix corythaix,Aves
10845111,,research,false,-33.9809141389,23.54932575,1,false,Tauraco corythaix corythaix,Aves
10846619,,research,false,-32.965413,27.926345,1,false,Tauraco corythaix corythaix,Aves
10852143,,research,false,-34.0697,23.02395,1,false,Tauraco corythaix corythaix,Aves
10852313,,research,false,-32.965341,27.926216,1,false,Tauraco corythaix corythaix,Aves
10855570,,research,false,-33.7083474937,26.641330719,244,false,Tauraco corythaix corythaix,Aves
10874199,,research,false,-33.97956,22.65053,1,false,Tauraco corythaix corythaix,Aves
10881152,,research,false,-32.9653027,27.9262242,1,false,Tauraco corythaix corythaix,Aves
10883033,,research,false,-33.98806,22.60844,1,false,Tauraco corythaix corythaix,Aves
