id,out_of_range,quality_grade,captive_cultivated,latitude,longitude,positional_accuracy,coordinates_obscured,scientific_name,iconic_taxon_name
31958,false,research,false,-34.2839993867,18.4295654297,,false,Anthobaphes violacea,Aves
202924,false,research,false,-34.3370695267,18.4579467765,,false,Anthobaphes violacea,Aves
260704,false,research,false,-34.085649,23.226686,110,false,Anthobaphes violacea,Aves
461904,false,research,false,-34.104982,23.397102,777,false,Anthobaphes violacea,Aves
498491,false,research,false,-34.352039,18.927383,437,false,Anthobaphes violacea,Aves
556149,false,research,false,-33.958025,18.402852,,false,Anthobaphes violacea,Aves
614952,false,research,false,-33.988883,18.429437,220,false,Anthobaphes violacea,Aves
830301,false,research,false,-33.987501,18.432722,882,false,Anthobaphes violacea,Aves
867572,false,research,false,-34.063525,18.387165,425,false,Anthobaphes violacea,Aves
1087798,false,research,false,-33.988495,18.42595,55,false,Anthobaphes violacea,Aves
1186935,false,research,false,-34.196123,18.429834,37,false,Anthobaphes violacea,Aves
1678039,false,research,false,-33.706919,19.795303,,false,Anthobaphes violacea,Aves
1678040,false,research,false,-33.706919,19.795303,,false,Anthobaphes violacea,Aves
2794719,false,research,false,-33.983723,18.431454,798,false,Anthobaphes violacea,Aves
2794734,false,research,false,-33.983723,18.431454,798,false,Anthobaphes violacea,Aves
2844091,false,research,false,-33.98622,18.431692,554,false,Anthobaphes violacea,Aves
3734862,false,research,false,-33.9894283333,18.4260066667,,false,Anthobaphes violacea,Aves
3919743,false,research,false,-33.9433599466,18.4268188477,1953,false,Anthobaphes violacea,Aves
4270256,false,research,false,-34.438782,19.619543,,false,Anthobaphes violacea,Aves
4969997,false,research,false,-34.3935702202,19.2668545246,8,false,Anthobaphes violacea,Aves
4989483,false,research,false,-33.958134,18.40387,205,false,Anthobaphes violacea,Aves
5011269,false,research,false,-34.393923,19.266006,,false,Anthobaphes violacea,Aves
5032413,false,research,false,-33.9628210443,18.409844152,,false,Anthobaphes violacea,Aves
5046836,false,research,false,-34.804547434,19.9734549245,,false,Anthobaphes violacea,Aves
5046840,false,research,false,-34.8042907715,19.9534893036,,false,Anthobaphes violacea,Aves
5133844,false,research,false,-34.0539465444,19.0362572314,,false,Anthobaphes violacea,Aves
6276458,false,research,false,-34.3530227814,18.4890276806,202,false,Anthobaphes violacea,Aves
7558112,false,research,false,-34.3954192618,19.2660176754,31,false,Anthobaphes violacea,Aves
8034731,false,research,false,-34.31916,18.823506,,false,Anthobaphes violacea,Aves
8283649,false,research,false,-33.7271194444,18.9357722222,0,false,Anthobaphes violacea,Aves
8446099,false,research,false,-33.9248685,18.4240553,73682,false,Anthobaphes violacea,Aves
8995197,false,research,false,-33.9370938377,21.0627785414,,false,Anthobaphes violacea,Aves
9110007,false,research,false,-33.9579606148,18.4031403065,31,false,Anthobaphes violacea,Aves
9110012,false,research,false,-33.9579345851,18.4031966329,8,false,Anthobaphes violacea,Aves
9223680,false,research,false,-34.39428,19.2660766667,,false,Anthobaphes violacea,Aves
9226527,false,research,false,-34.3478651951,18.9294433594,31,false,Anthobaphes violacea,Aves
9267244,false,research,false,-33.9875011,18.432722,483,false,Anthobaphes violacea,Aves
9331553,false,research,false,-34.52901,19.89452,5,false,Anthobaphes violacea,Aves
9347816,false,research,false,-33.9650032945,18.4103393555,244,false,Anthobaphes violacea,Aves
9353296,false,research,false,-34.3438612737,18.9312672634,190,false,Anthobaphes violacea,Aves
9381333,false,research,false,-34.3943999501,19.31682194,5,false,Anthobaphes violacea,Aves
9651648,false,research,false,-33.9736559695,18.4095960368,2193,false,Anthobaphes violacea,Aves
9685371,false,research,false,-33.99076,18.429058,,false,Anthobaphes violacea,Aves
9714970,false,research,false,-33.9874239815,18.4293937683,122,false,Anthobaphes violacea,Aves
9820983,false,research,false,-33.9611,18.4096083333,,false,Anthobaphes violacea,Aves
9856822,false,research,false,-33.971934,18.407094,2255,false,Anthobaphes violacea,Aves
9931202,false,research,false,-33.968420162,18.4259605408,244,false,Anthobaphes violacea,Aves
10023372,false,research,false,-33.9875011,18.432722,483,false,Anthobaphes violacea,Aves
10097658,false,research,false,-33.36229,22.08335,,false,Anthobaphes violacea,Aves
10124051,false,research,false,-34.313225,19.0057283333,,false,Anthobaphes violacea,Aves
10450079,false,research,false,-34.3945325,19.2658868,194,false,Anthobaphes violacea,Aves
10523819,false,research,false,-33.9875011,18.432722,483,false,Anthobaphes violacea,Aves
10523921,false,research,false,-33.9875011,18.432722,483,false,Anthobaphes violacea,Aves
10523958,false,research,false,-33.9875011,18.432722,483,false,Anthobaphes violacea,Aves
10783676,false,research,false,-33.988822,18.42884,1,false,Anthobaphes violacea,Aves
10788041,false,research,false,-34.07946,18.3899,1,false,Anthobaphes violacea,Aves
10789052,false,research,false,-34.12421,18.4469,1,false,Anthobaphes violacea,Aves
10791429,false,research,false,-34.39636,19.26228,1,false,Anthobaphes violacea,Aves
10794165,false,research,false,-34.2816250248,18.2144822037,1,true,Anthobaphes violacea,Aves
10794318,false,research,false,-34.224,18.4139,1,false,Anthobaphes violacea,Aves
10796175,false,research,false,-33.99278,18.41861,1,false,Anthobaphes violacea,Aves
10797620,false,research,false,-34.036914,19.615629,1,false,Anthobaphes violacea,Aves
10798613,false,research,false,-34.2061702,18.4537241,1,false,Anthobaphes violacea,Aves
10805766,false,research,false,-34.1177,18.4535,1,false,Anthobaphes violacea,Aves
10805909,false,research,false,-34.1167,18.4564,1,false,Anthobaphes violacea,Aves
10806699,false,research,false,-34.6386,19.5177,1,false,Anthobaphes violacea,Aves
